epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1685.15,1.3446,1.31935,1.49435,0.61388,0.64742,0.68116,0.36431,1.59118,1.3846,1.72576,0.0005941,0.0005941,0.0005941
43,1725.98,1.33957,1.28256,1.47923,0.63526,0.65242,0.70012,0.38433,1.58236,1.34388,1.71617,0.0005842,0.0005842,0.0005842
44,1767.35,1.34836,1.26458,1.49296,0.62826,0.68303,0.68965,0.36287,1.62501,1.37521,1.74404,0.0005743,0.0005743,0.0005743
45,1807.78,1.33108,1.23376,1.48777,0.66696,0.62532,0.67509,0.36024,1.60163,1.34947,1.71469,0.0005644,0.0005644,0.0005644
46,1848.49,1.33784,1.23988,1.4688,0.6213,0.57657,0.63388,0.34569,1.6771,1.46952,1.76141,0.0005545,0.0005545,0.0005545
47,1889.15,1.34312,1.27521,1.48978,0.6294,0.63754,0.67494,0.36051,1.62248,1.38296,1.72914,0.0005446,0.0005446,0.0005446
48,1930.5,1.32381,1.22773,1.47404,0.65398,0.64037,0.68722,0.3664,1.63298,1.33916,1.71644,0.0005347,0.0005347,0.0005347
49,1971.36,1.32511,1.21173,1.4635,0.63576,0.6271,0.65996,0.35246,1.64108,1.41248,1.72968,0.0005248,0.0005248,0.0005248
50,2013.01,1.3412,1.25134,1.4806,0.67798,0.66349,0.7014,0.37496,1.61388,1.38609,1.72818,0.0005149,0.0005149,0.0005149
51,2054.22,1.31256,1.21666,1.46826,0.64839,0.63315,0.69448,0.38086,1.60498,1.33484,1.71638,0.000505,0.000505,0.000505
52,2095.69,1.31458,1.22689,1.44788,0.68276,0.62792,0.70169,0.38171,1.57052,1.31814,1.68367,0.0004951,0.0004951,0.0004951
53,2136.95,1.30528,1.22419,1.46234,0.59212,0.66987,0.66862,0.36278,1.61611,1.3674,1.71948,0.0004852,0.0004852,0.0004852
54,2178.75,1.30352,1.20915,1.452,0.60913,0.67787,0.69406,0.38177,1.5906,1.3117,1.72493,0.0004753,0.0004753,0.0004753
55,2220.03,1.29125,1.20663,1.44946,0.634,0.62761,0.67847,0.36663,1.62918,1.3566,1.69957,0.0004654,0.0004654,0.0004654
56,2261.25,1.29088,1.1726,1.44672,0.6402,0.66376,0.69507,0.37895,1.61032,1.30898,1.7098,0.0004555,0.0004555,0.0004555
57,2302.62,1.28736,1.1826,1.44961,0.63437,0.66141,0.69268,0.37729,1.60581,1.33535,1.7073,0.0004456,0.0004456,0.0004456
58,2344.43,1.26425,1.18277,1.43722,0.71035,0.65099,0.71398,0.39363,1.57625,1.25464,1.69871,0.0004357,0.0004357,0.0004357
59,2385.43,1.26134,1.13059,1.42838,0.62102,0.64487,0.67118,0.37245,1.62309,1.31276,1.71779,0.0004258,0.0004258,0.0004258
60,2426.39,1.26741,1.15337,1.42995,0.66021,0.6418,0.67388,0.36683,1.64596,1.29486,1.75387,0.0004159,0.0004159,0.0004159
61,2467.04,1.26988,1.1665,1.43553,0.61812,0.68078,0.70894,0.39181,1.57379,1.27666,1.69266,0.000406,0.000406,0.000406
62,2507.65,1.2651,1.15582,1.43861,0.66493,0.68136,0.71803,0.39656,1.52321,1.26693,1.68345,0.0003961,0.0003961,0.0003961
63,2548.38,1.23005,1.12092,1.41082,0.65139,0.6728,0.71491,0.38588,1.59149,1.30432,1.70952,0.0003862,0.0003862,0.0003862
64,2588.88,1.25542,1.12622,1.42185,0.61044,0.69391,0.70472,0.39245,1.55885,1.26477,1.69801,0.0003763,0.0003763,0.0003763
65,2630.35,1.25184,1.13201,1.41683,0.68179,0.6502,0.71244,0.39969,1.56098,1.28133,1.67867,0.0003664,0.0003664,0.0003664
66,2672.02,1.21424,1.095,1.39573,0.65086,0.68439,0.71624,0.39992,1.57284,1.2627,1.70378,0.0003565,0.0003565,0.0003565
67,2717.16,1.22183,1.11288,1.40171,0.63302,0.6896,0.69812,0.39579,1.57981,1.28228,1.71097,0.0003466,0.0003466,0.0003466
68,2757.43,1.22649,1.08334,1.41017,0.64568,0.6477,0.68553,0.36952,1.63675,1.30858,1.74378,0.0003367,0.0003367,0.0003367
69,2797.59,1.20611,1.08745,1.39103,0.66663,0.70586,0.72941,0.40883,1.542,1.20882,1.67787,0.0003268,0.0003268,0.0003268
70,2838.03,1.21139,1.06302,1.39027,0.63471,0.68446,0.7037,0.40029,1.55589,1.23824,1.69659,0.0003169,0.0003169,0.0003169
71,2878.14,1.19402,1.06184,1.39545,0.66241,0.68545,0.69543,0.38787,1.61004,1.249,1.74022,0.000307,0.000307,0.000307
72,2919.07,1.20692,1.04435,1.383,0.66828,0.68832,0.71518,0.39007,1.60359,1.24703,1.71801,0.0002971,0.0002971,0.0002971
73,2963.34,1.19222,1.05562,1.38811,0.66147,0.68809,0.71862,0.39855,1.56675,1.22465,1.69822,0.0002872,0.0002872,0.0002872
74,3012.38,1.2054,1.0658,1.38854,0.64146,0.65986,0.6989,0.38896,1.6118,1.2834,1.72377,0.0002773,0.0002773,0.0002773
75,3052.84,1.20418,1.05639,1.38505,0.687,0.65107,0.70456,0.40552,1.55663,1.24157,1.71176,0.0002674,0.0002674,0.0002674
